Column1	Artwork-Id	type	district	environment	countArtists	experience	replaced	content	userRating	approval
654	11858778	painting	Friedrichshain-Kreuzberg	main street	3	professional	stickers and tags	cartoon or comical	4	1
655	19565707	painting	Tempelhof-Schoneberg	public spot	3	advanced	poster	cartoon or comical	5	1
656	46905574	painting	Marzahn-Hellersdorf	side street	3	first time	stickers and tags	scenery	4	1
657	47993120	graffiti	Neukolln	park	2	first time	stickers and tags	conceptual	5	1
658	63912607	poster	Reinickendorf	main street	1	professional	recent graffiti	conceptual	1	1
659	28585704	poster	Friedrichshain-Kreuzberg	park	2	beginner	stickers and tags	scenery	3	1
660	24586235	graffiti	Neukolln	main street	2	beginner	weathered graffiti	scenery	2	1
661	22219509	painting	Lichtenberg	side street	1	first time	poster	conceptual	3	1
662	86268986	graffiti	Lichtenberg	public spot	5	beginner	weathered graffiti	animals or plants	4	0
663	31144945	painting	Charlottenburg-Wilmersdorf	park	1	advanced	weathered graffiti	people	3	1
664	47857935	painting	Steglitz-Zehlendorf	side street	2	first time	stickers and tags	conceptual	4	1
665	84245050	painting	Charlottenburg-Wilmersdorf	main street	3	first time	weathered graffiti	political	2	0
666	36932890	painting	Reinickendorf	main street	3	beginner	recent painting	animals or plants	1	0
667	87173297	painting	Neukolln	side street	1	professional	stickers and tags	scenery	4	1
668	40757859	painting	Charlottenburg-Wilmersdorf	main street	2	advanced	weathered graffiti	people	4	1
669	76074920	graffiti	Treptow-Kopenick	playground	3	advanced	nothing	scenery	3	1
670	29682734	painting	Mitte	playground	3	beginner	stickers and tags	scenery	3	1
671	85651737	painting	Charlottenburg-Wilmersdorf	main street	3	first time	stickers and tags	people	2	1
672	24623377	graffiti	Mitte	side street	1	beginner	recent painting	conceptual	3	0
673	93956638	painting	Reinickendorf	public spot	3	professional	stickers and tags	animals or plants	5	1
674	43873340	graffiti	Mitte	park	3	beginner	poster	scenery	4	1
675	31104598	painting	Marzahn-Hellersdorf	park	5	advanced	weathered graffiti	political	3	1
676	59285344	graffiti	Pankow	side street	4	beginner	recent graffiti	political		0
677	56688237	graffiti	Marzahn-Hellersdorf	park	2	advanced	weathered graffiti	people	3	1
678	41028793	painting	Friedrichshain-Kreuzberg	main street	2	first time	weathered graffiti	scenery	1	0
679	64527279	poster	Reinickendorf	main street	3	beginner	nothing	animals or plants	3	1
680	46328628	stencil	Lichtenberg	side street	2	advanced	recent painting	people		0
681	22996052	painting	Spandau	public spot	3	first time	stickers and tags	cartoon or comical	1	0
682	72707977	painting	Neukolln	public spot	2	beginner	poster	animals or plants	5	1
683	70113957	painting	Treptow-Kopenick	park	3	beginner	text	people	4	1
684	14277036	poster	Charlottenburg-Wilmersdorf	park	1	beginner	stickers and tags	people	1	0
685	72909209	text	Neukolln	public spot	1	beginner	stickers and tags	animals or plants	3	1
686	58887428	painting	Pankow	side street	2	advanced	stickers and tags	people	5	1
687	62348656	painting	Treptow-Kopenick	main street	2	beginner	weathered graffiti	cartoon or comical	4	1
688	39269473	painting	Marzahn-Hellersdorf	public spot	2	professional	recent graffiti	people		1
689	83397631	graffiti	Reinickendorf	side street	2	first time	weathered painting	animals or plants		0
690	34974501	painting	Neukolln	main street	1	first time	recent painting	political	3	0
691	33391463	painting	Charlottenburg-Wilmersdorf	main street	3	first time	weathered painting	cartoon or comical	3	0
692	91296788	painting	Charlottenburg-Wilmersdorf	public spot	4	advanced	weathered graffiti	conceptual	2	0
693	31284848	painting	Lichtenberg	main street	3	beginner	nothing	political	4	1
694	54584579	text	Charlottenburg-Wilmersdorf	side street	1	beginner	recent graffiti	animals or plants		1
695	89182455	poster	Lichtenberg	public spot	4	first time	stickers and tags	political		0
696	73565601	painting	Friedrichshain-Kreuzberg	side street	3	first time	poster	conceptual	3	1
697	91054117	painting	Mitte	park	5	beginner	weathered graffiti	political	3	0
698	39833325	poster	Treptow-Kopenick	side street	1	advanced	weathered painting	conceptual	3	0
699	67792223	painting	Neukolln	park	3	first time	recent painting	political	3	0
700	77890910	painting	Friedrichshain-Kreuzberg	side street	5	advanced	weathered graffiti	conceptual	4	1
701	21621741	graffiti	Treptow-Kopenick	side street	1	beginner	recent painting	scenery	2	0
702	20804716	stencil	Marzahn-Hellersdorf	side street	4	advanced	text	conceptual	3	1
703	21021052	painting	Steglitz-Zehlendorf	side street	1	first time	weathered graffiti	scenery	2	1
704	37220636	graffiti	Reinickendorf	side street	2	first time	poster	cartoon or comical	4	1
705	21694760	painting	Steglitz-Zehlendorf	main street	2	beginner	poster	animals or plants	3	1
706	69761885	painting	Spandau	main street	2	first time	recent graffiti	cartoon or comical	4	1
707	44045391	painting	Treptow-Kopenick	park	1	advanced	recent graffiti	cartoon or comical	4	1
708	84559431	painting	Mitte	side street	3	professional	poster	cartoon or comical	3	1
709	14755802	painting	Tempelhof-Schoneberg	side street	3	advanced	nothing	animals or plants	4	1
710	58653101	painting	Friedrichshain-Kreuzberg	side street	1	first time	weathered graffiti	political	3	1
711	43683005	painting	Neukolln	park	3	beginner	poster	scenery	3	1
712	25708282	graffiti	Charlottenburg-Wilmersdorf	park	2	first time	text	political	3	0
713	68656582	painting	Treptow-Kopenick	main street	4	beginner	weathered graffiti	people	1	0
714	45329609	graffiti	Steglitz-Zehlendorf	side street	3	beginner	poster	animals or plants		0
715	77149792	graffiti	Marzahn-Hellersdorf	public spot	3	beginner	weathered painting	animals or plants	3	0
716	29410317	painting	Steglitz-Zehlendorf	side street	2	beginner	weathered graffiti	people	4	1
717	75060281	painting	Mitte	side street	2	first time	stickers and tags	conceptual	2	1
718	80669615	painting	Treptow-Kopenick	side street	2	beginner	weathered graffiti	animals or plants	3	1
719	22996508	painting	Neukolln	playground	4	first time	weathered graffiti	political	1	0
720	13087950	painting	Neukolln	park	1	advanced	weathered graffiti	conceptual	3	1
721	67768533	painting	Neukolln	side street	2	advanced	stickers and tags	cartoon or comical	2	1
722	74723317	painting	Reinickendorf	side street	3	beginner	weathered graffiti	people	3	1
723	94233564	graffiti	Charlottenburg-Wilmersdorf	park	2	beginner	weathered painting	people	3	0
724	68328023	painting	Treptow-Kopenick	side street	2	advanced	nothing	people	5	1
725	72560167	painting	Reinickendorf	main street	2	beginner	weathered painting	conceptual		0
726	78813781	painting	Steglitz-Zehlendorf	side street	3	first time	nothing	conceptual	5	1
727	33728248	painting	Marzahn-Hellersdorf	side street	2	beginner	weathered painting	conceptual	4	1
728	85048496	graffiti	Spandau	side street	2	advanced	recent painting	political	4	0
729	19133701	painting	Friedrichshain-Kreuzberg	park	4	professional	recent painting	cartoon or comical	1	0
730	64146334	graffiti	Steglitz-Zehlendorf	side street	2	beginner	poster	animals or plants	5	1
731	42690093	painting	Reinickendorf	park	2	beginner	poster	cartoon or comical	5	1
732	66270063	painting	Neukolln	main street	3	beginner	nothing	conceptual		1
733	46319542	poster	Friedrichshain-Kreuzberg	main street	1	first time	weathered graffiti	political	2	0
734	46334992	graffiti	Friedrichshain-Kreuzberg	park	4	beginner	recent graffiti	scenery	3	0
735	91040465	painting	Treptow-Kopenick	side street	1	beginner	stickers and tags	animals or plants	4	1
736	69522502	graffiti	Neukolln	side street	4	first time	nothing	animals or plants	3	1
737	62493965	painting	Marzahn-Hellersdorf	main street	5	beginner	weathered graffiti	conceptual	5	1
738	53391504	painting	Mitte	side street	4	advanced	stickers and tags	people	4	1
739	61160468	graffiti	Charlottenburg-Wilmersdorf	main street	4	advanced	stickers and tags	people	2	0
740	59051792	painting	Spandau	side street	4	beginner	stickers and tags	people	1	0
741	75415535	graffiti	Treptow-Kopenick	main street	2	beginner	recent painting	animals or plants		0
742	14913557	painting	Lichtenberg	park	4	first time	weathered graffiti	people	4	1
743	11747706	graffiti	Neukolln	side street	2	advanced	recent graffiti	political	5	1
744	65651824	painting	Steglitz-Zehlendorf	public spot	1	beginner	poster	conceptual		0
745	68311402	painting	Tempelhof-Schoneberg	side street	2	first time	weathered graffiti	political	3	1
746	22390811	painting	Mitte	park	2	beginner	weathered graffiti	cartoon or comical	5	1
747	19230282	painting	Friedrichshain-Kreuzberg	park	1	advanced	weathered graffiti	people	5	1
748	29644044	painting	Treptow-Kopenick	side street	2	advanced	stickers and tags	scenery	3	1
749	55964034	graffiti	Spandau	main street	1	first time	poster	scenery		0
